Crop,Irrigation,N,P,K,pH,Notes
Apple,Center-pivot Irrigation,43.8,28.3,47.6,5.65,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Rotary Irrigation,68.2,31.9,55.4,6.18,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Surface Irrigation,63.4,29.7,57.8,6.14,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Subsurface Textile Irrigation,64.7,49.7,43.9,5.82,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,68.0,42.7,48.4,5.56,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Center-pivot Irrigation,46.0,49.2,32.8,6.42,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Center-pivot Irrigation,65.0,23.5,55.4,6.71,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,57.1,49.5,48.1,5.56,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,65.0,38.5,34.0,6.61,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,53.3,33.3,58.0,5.62,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Sprinkler Irrigation,74.7,44.6,36.0,5.5,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,44.5,39.1,44.5,5.53,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,64.6,36.0,57.3,6.16,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,52.1,28.1,52.4,5.58,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Center-pivot Irrigation,53.7,33.0,50.3,5.61,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,43.1,34.1,33.5,6.21,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Center-pivot Irrigation,71.6,25.4,39.8,6.49,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,42.2,43.2,55.1,6.29,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Sprinkler Irrigation,46.6,22.0,55.4,6.62,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Surface Irrigation,79.7,38.2,49.3,6.67,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Flood Irrigation,44.5,30.3,49.5,6.18,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,62.8,26.4,38.3,6.36,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,72.5,45.8,37.1,6.08,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Sprinkler Irrigation,71.9,22.2,59.7,5.87,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Subsurface Textile Irrigation,63.2,48.2,34.1,6.04,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Subsurface Textile Irrigation,77.4,23.1,33.0,6.37,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Sprinkler Irrigation,75.4,20.3,35.4,6.16,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,67.8,35.0,58.7,5.94,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,46.7,36.9,39.2,6.23,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,44.9,33.0,35.4,5.74,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Center-pivot Irrigation,48.4,20.9,45.0,5.57,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Flood Irrigation,51.5,30.0,41.6,6.35,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Subsurface Textile Irrigation,72.4,48.9,37.0,6.65,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Rotary Irrigation,60.8,32.7,30.9,6.76,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,73.2,31.1,52.4,6.3,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,58.9,30.3,39.9,6.31,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Rotary Irrigation,68.6,20.6,37.6,5.66,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,56.0,37.2,54.6,5.51,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,64.9,42.1,33.4,6.55,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Surface Irrigation,49.9,23.8,53.1,6.01,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Rotary Irrigation,62.9,24.6,59.8,6.3,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,79.1,25.9,48.4,5.98,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Center-pivot Irrigation,44.0,45.9,43.6,6.65,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,47.1,40.0,58.7,5.88,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,40.8,25.8,55.0,6.07,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Surface Irrigation,64.9,21.5,57.7,5.52,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Surface Irrigation,56.5,39.0,44.1,5.88,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Flood Irrigation,76.3,39.0,35.0,5.6,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Sprinkler Irrigation,50.2,39.5,42.6,6.65,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,53.5,32.0,48.9,6.29,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,44.8,36.0,55.9,6.13,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,62.7,35.6,43.3,6.35,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,69.9,39.7,60.0,5.51,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,42.6,43.7,30.8,6.43,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,45.7,46.8,53.3,6.19,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Sprinkler Irrigation,54.0,20.5,31.5,6.66,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Flood Irrigation,55.5,25.4,40.4,5.59,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Sprinkler Irrigation,49.1,25.3,37.9,6.27,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,72.0,23.5,56.8,6.54,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Subsurface Textile Irrigation,77.7,30.0,38.4,6.22,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Center-pivot Irrigation,74.6,48.7,48.3,6.31,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,50.7,30.8,32.2,6.02,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,65.2,45.2,40.6,6.43,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Subsurface Textile Irrigation,53.0,25.7,40.2,6.04,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Sprinkler Irrigation,77.4,25.3,30.2,6.34,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,49.7,29.3,39.5,6.4,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,63.7,37.8,36.8,6.33,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,66.7,20.4,49.2,6.15,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,53.7,20.7,42.6,6.52,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,67.0,34.7,44.5,5.87,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,45.9,26.9,35.4,6.51,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,66.3,30.9,37.1,6.36,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Subsurface Textile Irrigation,53.7,38.8,55.3,6.68,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Rotary Irrigation,79.8,47.7,42.6,6.39,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Surface Irrigation,53.7,48.4,41.2,6.75,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Rotary Irrigation,52.7,31.0,33.5,6.78,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,65.4,22.5,53.6,6.48,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,57.4,20.6,43.3,6.52,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,71.7,20.1,44.8,5.53,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Surface Irrigation,75.3,45.8,33.6,5.71,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,57.5,32.2,41.2,6.2,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,60.0,36.9,48.0,5.91,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Center-pivot Irrigation,60.5,34.1,59.0,5.9,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Center-pivot Irrigation,50.6,43.2,43.5,6.36,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Micro Irrigation,57.1,48.9,57.0,5.71,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,47.3,33.5,31.8,6.21,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,73.0,33.7,31.9,6.08,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Sprinkler Irrigation,46.1,20.6,59.6,5.99,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,58.2,38.4,30.5,6.09,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,73.6,27.4,52.6,6.71,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,49.3,30.8,48.0,6.27,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Furrow Irrigation,57.7,40.9,38.4,5.71,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Subsurface Textile Irrigation,41.3,21.2,49.0,5.75,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Rotary Irrigation,42.5,47.4,39.4,6.5,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Sprinkler Irrigation,40.0,26.4,55.6,6.11,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,78.0,24.2,38.2,6.22,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Rotary Irrigation,52.8,21.0,55.8,5.88,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Surface Irrigation,43.1,38.9,53.3,5.59,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Lateral Move Irrigation,63.8,34.3,53.3,5.83,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Apple,Drip Irrigation,54.8,26.3,36.7,6.53,Fertilizer plan for Apple; adjust based on soil test and crop stage.
Arecanut,Sprinkler Irrigation,129.2,42.7,84.2,6.37,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Furrow Irrigation,96.8,76.2,141.8,5.59,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Center-pivot Irrigation,120.1,53.4,128.1,6.0,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Subsurface Textile Irrigation,105.3,70.8,159.3,5.37,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Sprinkler Irrigation,115.1,76.3,127.3,5.52,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Subsurface Textile Irrigation,116.6,49.0,95.7,5.97,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Drip Irrigation,84.8,57.5,132.3,5.26,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Flood Irrigation,123.8,56.3,112.1,5.61,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Subsurface Textile Irrigation,102.6,76.2,106.1,5.26,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
Arecanut,Lateral Move Irrigation,134.4,79.3,102.9,6.41,Fertilizer plan for Arecanut; adjust based on soil test and crop stage.
